dataset,transform,model,split_id,Accuracy,Accuracy_sex_Male_0,Accuracy_sex_Male_0-sex_Male_1,Accuracy_sex_Male_0/sex_Male_1,Accuracy_sex_Male_1,Balanced Accuracy,CV absolute,F1,P(s|y)=0.5,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,percent_dropped,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1,seed
Adult Sex,no_transform,"Logistic Regression, C=1.0",4,0.8929908132017693,0.9224225927186118,0.058863559033685016,0.9361859092585759,0.8635590336849268,0.7419176043306859,0.9295678802313712,0.5371596762325238,1.0,0.9374280230326296,0.9738963531669864,0.07293666026871393,0.9251083957430036,0.9009596928982726,0.5464071856287425,0.5209580838323353,0.050898203592814384,0.9109947643979056,0.5718562874251497,0.3501769128704113,0.11755699217420892,0.08234093228989453,0.0704321197686288,0.5389755011135857,0.15277305205852332,9640.0
Adult Sex,no_transform,SVM,4,0.910513780197346,0.9295678802313712,0.03810820006805038,0.95900439238653,0.8914596801633209,0.7354890985782754,0.9401156856073496,0.5638474295190714,1.0,0.9619961612284068,0.9896353166986565,0.055278310940499065,0.9441427463149727,0.9343570057581574,0.5089820359281437,0.4610778443113773,0.09580838323353286,0.827956989247312,0.5568862275449101,0.3501769128704113,0.09152773052058524,0.06158557332425995,0.059884314392650566,0.5070028011204482,0.12146988771691053,9640.0
Adult Sex,no_transform,Majority,4,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,9640.0
Adult Sex,no_transform,Kamiran & Calders LR,4,0.8952024498128616,0.9101735284110242,0.029942157196325318,0.9671028037383176,0.8802313712146989,0.7549108117737653,0.9938754678462062,0.5542691751085383,1.0,0.936468330134357,0.946641074856046,0.020345489443378103,0.9785077047850772,0.926295585412668,0.5733532934131736,0.6257485029940121,0.10479041916167664,0.8325358851674641,0.5209580838323353,0.3501769128704113,0.12146988771691053,0.11840762164001364,0.006124532153793799,0.9508196721311476,0.12453215379380746,9640.0
Adult Sex,no_transform,Kamiran & Calders SVM,4,0.9154474310990132,0.921742089145968,0.012589316093909451,0.986341823551126,0.9091527730520584,0.7630684887422852,0.977203130316434,0.6033519553072625,1.0,0.9602687140115164,0.9573896353166986,0.0057581573896353655,0.9940215225189318,0.9631477927063341,0.5658682634730539,0.6437125748502994,0.15568862275449102,0.7581395348837209,0.4880239520958084,0.3501769128704113,0.09952364749914937,0.11092208234093227,0.02279686968356584,0.7944785276073619,0.08812521265736645,9640.0
Adult Sex,no_transform,"Logistic Regression, C=1.0",5,0.8977543382102756,0.9288873766587274,0.06226607689690367,0.932967032967033,0.8666212997618238,0.7570028848253589,0.9186798230690713,0.5609934258582908,1.0,0.9391554702495202,0.979654510556622,0.08099808061420344,0.9173197492163008,0.8986564299424185,0.5748502994011976,0.5329341317365269,0.08383233532934131,0.8640776699029126,0.6167664670658682,0.3501769128704113,0.11925825110581832,0.07859816264035388,0.08132017693092887,0.4914893617021277,0.15991833957128276,12050.0
Adult Sex,no_transform,SVM,5,0.9127254168084382,0.9322898945219462,0.039128955427016,0.958029197080292,0.8931609390949302,0.7458721712046157,0.9282068730860836,0.5798525798525798,1.0,0.9618042226487524,0.9930902111324376,0.06257197696737049,0.9369926555856204,0.9305182341650672,0.5299401197604791,0.4580838323353293,0.14371257485029942,0.7611940298507462,0.6017964071856288,0.3501769128704113,0.09407961891799932,0.058183055461041175,0.07179312691391633,0.4476439790575916,0.12997618237495748,12050.0
Adult Sex,no_transform,Majority,5,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,12050.0
Adult Sex,no_transform,Kamiran & Calders LR,5,0.9016672337529772,0.9169785641374616,0.030622660768969023,0.9666048237476808,0.8863559033684927,0.7774811222085579,0.9979584892820688,0.5877318116975749,1.0,0.9381957773512476,0.946257197696737,0.0161228406909788,0.9829614604462475,0.9301343570057582,0.6167664670658682,0.688622754491018,0.14371257485029942,0.7913043478260869,0.5449101796407185,0.3501769128704113,0.1248724055801293,0.12589316093909492,0.0020415107179312525,0.983783783783784,0.12385165022116365,12050.0
Adult Sex,no_transform,Kamiran & Calders SVM,5,0.9207213337870024,0.9288873766587274,0.01633208574345013,0.9824175824175824,0.9125552909152772,0.7862720815566564,0.9857094249744812,0.6370716510903427,1.0,0.9602687140115164,0.9608445297504798,0.001151631477927073,0.9988014382740712,0.9596928982725528,0.6122754491017964,0.6796407185628742,0.1347305389221557,0.8017621145374451,0.5449101796407185,0.3501769128704113,0.10479755018713847,0.11194283769989792,0.014290575025518878,0.8723404255319149,0.09765226267437904,12050.0
Adult Sex,no_transform,"Logistic Regression, C=1.0",6,0.8992854712487242,0.9302483838040152,0.061925825110581874,0.9334308705193854,0.8683225586934331,0.7643919454756514,0.9203810820006804,0.5710144927536231,1.0,0.9389635316698656,0.9788867562380038,0.07984644913627638,0.9184313725490196,0.8990403071017274,0.5898203592814372,0.5508982035928144,0.07784431137724546,0.8761904761904763,0.6287425149700598,0.3501769128704113,0.12112963593058865,0.08132017693092887,0.0796189179993195,0.5052854122621564,0.16093909493024838,14460.0
Adult Sex,no_transform,SVM,6,0.915957808778496,0.9350119088125212,0.03810820006805038,0.9592430858806404,0.8969037087444709,0.7555259921615503,0.9319496427356244,0.5970636215334421,1.0,0.9631477927063341,0.9930902111324376,0.059884836852207364,0.9396984924623116,0.9332053742802304,0.5479041916167665,0.4820359281437126,0.13173652694610774,0.7853658536585366,0.6137724550898204,0.3501769128704113,0.094930248383804,0.0609050697516162,0.06805035726437564,0.4722955145118734,0.12895542701599186,14460.0
Adult Sex,no_transform,Majority,6,0.8863559033684927,0.8863559033684927,0.0,1.0,0.8863559033684927,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.3501769128704113,0.0,0.0,0.0,,0.0,14460.0
Adult Sex,no_transform,Kamiran & Calders LR,6,0.8975842123171147,0.9152773052058524,0.03538618577747543,0.9613382899628252,0.8798911194283769,0.7699575896192261,0.9959169785641376,0.5730496453900711,1.0,0.9351247600767756,0.943953934740883,0.017658349328214973,0.9812932086213908,0.926295585412668,0.6047904191616766,0.6916167664670658,0.17365269461077834,0.7489177489177491,0.5179640718562875,0.3501769128704113,0.1262334127254168,0.12827492344334807,0.004083021435862533,0.9681697612732096,0.12419190200748552,14460.0
Adult Sex,no_transform,Kamiran & Calders SVM,6,0.91850969717591,0.9258251105818306,0.014630826811840802,0.984196986402058,0.9111942837699898,0.7817618122679784,0.9819666553249404,0.6278166278166278,1.0,0.9587332053742802,0.9577735124760076,0.001919385796545048,0.998,0.9596928982725528,0.6047904191616766,0.6766467065868264,0.14371257485029942,0.7876106194690266,0.5329341317365269,0.3501769128704113,0.1053079278666213,0.11432460020415107,0.018033344675059543,0.8422619047619048,0.09629125552909153,14460.0
